Normalized_signaling_variable	P_X_input	P_ZG_graded_output	P_ZB_switch_like_output
1.6804201050e-01	7.0855827727e-30	1.7000662088e-04	1.0476231896e-17
1.6954238560e-01	9.6198633538e-30	1.7155968217e-04	1.1458655937e-17
1.7104276069e-01	1.2921940115e-29	1.7312449593e-04	1.2521436067e-17
1.7254313578e-01	1.7157476287e-29	1.7470112332e-04	1.3669339336e-17
1.7404351088e-01	2.2515905746e-29	1.7629263291e-04	1.4933091839e-17
1.7554388597e-01	3.0217604987e-29	1.7789917967e-04	1.6326799614e-17
1.7704426107e-01	4.0151698626e-29	1.7951785004e-04	1.7833949807e-17
1.7854463616e-01	5.2779190814e-29	1.8114870689e-04	1.9461239296e-17
1.8004501125e-01	6.8630779589e-29	1.8279491524e-04	2.1251968451e-17
1.8154538635e-01	9.1119614201e-29	1.8445663447e-04	2.3225937605e-17
1.8304576144e-01	1.1985526736e-28	1.8613085890e-04	2.5359795705e-17
1.8454613653e-01	1.5607437934e-28	1.8781765315e-04	2.7662935031e-17
1.8604651163e-01	2.0121033355e-28	1.8952028145e-04	3.0196275749e-17
1.8754688672e-01	2.6446994825e-28	1.9123890762e-04	3.2987564836e-17
1.8904726182e-01	3.4459458589e-28	1.9297043130e-04	3.6003835787e-17
1.9054763691e-01	4.4478953507e-28	1.9471491893e-04	3.9258239189e-17
1.9204801200e-01	5.6879613336e-28	1.9647573665e-04	4.2836343887e-17
1.9354838710e-01	7.4062216965e-28	1.9825305289e-04	4.6776967975e-17
1.9504876219e-01	9.5647639786e-28	2.0004366991e-04	5.1033646950e-17
1.9654913728e-01	1.2244034390e-27	2.0184765602e-04	5.5624762884e-17
1.9804951238e-01	1.5538606505e-27	2.0366848213e-04	6.0670308572e-17
1.9954988747e-01	2.0054918663e-27	2.0550632134e-04	6.6224500061e-17
2.0105026257e-01	2.5684954455e-27	2.0735787585e-04	7.2221956358e-17
2.0255063766e-01	3.2624600154e-27	2.0922321586e-04	7.8688329323e-17
2.0405101275e-01	4.1105827745e-27	2.1110591996e-04	8.5791607389e-17
2.0555138785e-01	5.2615379636e-27	2.1300616604e-04	9.3607386119e-17
2.0705176294e-01	6.6859790906e-27	2.1492055343e-04	1.0204381885e-16
2.0855213803e-01	8.4302650703e-27	2.1684915427e-04	1.1113664256e-16
2.1005251313e-01	1.0549704692e-26	2.1879565779e-04	1.2112065187e-16
2.1155288822e-01	1.3398662761e-26	2.2076024681e-04	1.3210107670e-16
2.1305326332e-01	1.6900664702e-26	2.2273941492e-04	1.4394910491e-16
2.1455363841e-01	2.1162517173e-26	2.2473323624e-04	1.5671444051e-16
2.1605401350e-01	2.6312615660e-26	2.2674551369e-04	1.7072471164e-16
2.1755438860e-01	3.3173428022e-26	2.2877643511e-04	1.8612615503e-16
2.1905476369e-01	4.1552956370e-26	2.3082238544e-04	2.0273841429e-16
2.2055513878e-01	5.1691109164e-26	2.3288344083e-04	2.2063050367e-16
2.2205551388e-01	6.3878521360e-26	2.3496352100e-04	2.4025883665e-16
2.2355588897e-01	7.9976731395e-26	2.3706281893e-04	2.6182629706e-16
2.2505626407e-01	9.9519706526e-26	2.3917760790e-04	2.8508077644e-16
2.2655663916e-01	1.2303354765e-25	2.4130796616e-04	3.1011794133e-16
2.2805701425e-01	1.5116061939e-25	2.4345793340e-04	3.3757256646e-16
2.2955738935e-01	1.8801517046e-25	2.4562770785e-04	3.6772565553e-16
2.3105776444e-01	2.3250041914e-25	2.4781344809e-04	4.0022538545e-16
2.3255813953e-01	2.8574412374e-25	2.5001523450e-04	4.3520414611e-16
2.3405851463e-01	3.4913430964e-25	2.5223722998e-04	4.7354332024e-16
2.3555888972e-01	4.3156114659e-25	2.5447963816e-04	5.1563146055e-16
2.3705926482e-01	5.3051593442e-25	2.5673849977e-04	5.6097840219e-16
2.3855963991e-01	6.4836454815e-25	2.5901389736e-04	6.0976704897e-16
2.4006001500e-01	7.8804260599e-25	2.6131012040e-04	6.6321918087e-16
2.4156039010e-01	9.6835303226e-25	2.6362737802e-04	7.2187116318e-16
2.4306076519e-01	1.1837073817e-24	2.6596158989e-04	7.8504122170e-16
2.4456114029e-01	1.4389682006e-24	2.6831284081e-04	8.5298162508e-16
2.4606151538e-01	1.7402190046e-24	2.7068555018e-04	9.2738322224e-16
